Category	Title	Season	Frequency	Priority	Cost	Who handles	Routing hint	Always pro (safety)	Warranty-linked	DIY minutes	DIY note	Required subtypes	Essential (seeded)	Pro required	Bundle	Bundle title	Regional gate	Max interval (days)	Description	Notes
Handyman	Replace smoke & CO detector batteries	Fall	Semi-annually	High	(bundled)	Vendor (default)		false	false	15			true	false	Handyman:fall				Fall battery swap — daylight-saving is the industry's mnemonic. The handyman handles the high-reach units you can't get to safely.	
Handyman	Winterize outdoor faucets and hose bibs	Fall	Annually	High	(bundled)	Vendor (default)		false	false	20			true	false	Handyman:fall		northeast		Shut off interior supply valves to exterior faucets, open the spigots to drain, install insulated covers. A split pipe behind the bib is a $2-5K repair.	
Handyman	Drain and store exterior hoses	Fall	Annually	Medium	(bundled)	Vendor (default)		false	false	20			true	false	Handyman:fall		northeast		Drain every exterior hose, coil, and store in a garage or shed so they don't crack from freeze-thaw cycles.	
Handyman	Inspect weatherstripping pre-heating season	Fall	Annually	Medium	(bundled)	Vendor (default)		false	false	25			true	false	Handyman:fall				Check door and window weatherstripping for gaps, compression, or tears. Replace any compromised sections before the heating bill reflects them.	
Handyman	Pre-winter foundation and gutter walkaround	Fall	Annually	High	(bundled)	Vendor (default)		false	false	30			true	false	Handyman:fall				Check foundation + gutters before freeze season. Any cracks that need sealing + any gutter hangers that loosened over the summer.	
Handyman	Check attic insulation coverage	Fall	Annually	Medium	(bundled)	Vendor (default)		false	false	20			true	false	Handyman:fall				Eye-check the attic — look for areas where insulation has been compressed, blown aside, or compromised by pests. Snap a photo for later reference.	
Handyman	Test smoke and CO detector alarms	Fall	Semi-annually	High	(bundled)	Vendor (default)		false	false	10			true	false	Handyman:fall				Fall audio-circuit verification. Press TEST on every alarm — especially important before the heating system starts producing CO.	
Handyman	Replace HVAC filter (heating season)	Fall	Semi-annually	Medium	(bundled)	Vendor (default)		false	false	5		ducted	true	false	Handyman:fall				Swap to a fresh filter before the furnace starts running. A loaded filter slows airflow and costs runtime.	
Handyman	Ceiling fan direction switch (winter)	Fall	Semi-annually	Low	(bundled)	Vendor (default)		false	false	10			true	false	Handyman:fall				Flip ceiling fans to clockwise for gentle upward airflow — pushes warm air pooling at the ceiling back down into the room.	
Handyman	Pipe insulation check in unheated spaces	Fall	Annually	High	(bundled)	Vendor (default)		false	false	25			true	false	Handyman:fall		northeast		Confirm pipe insulation is intact in garages, crawl spaces, attics, and unheated basements. Replace any sections that have fallen away or been chewed on.	
Handyman	Interior paint touch-up walkaround	Spring	Annually	Low	$150–$400	Vendor (default)		false	false				false	true					Handyman walks the house with a small kit (primer, paint matched to existing finishes, a fine brush) and touches up scuffs, nicks, and baseboard marks. A 90-minute visit keeps a refreshed look without a full repaint.	Bring your touch-up paint kit if you have one. Most handymen can color-match from a sample chip if you don't.
Handyman	Cabinet and door hardware tune-up	Any	Annually	Low	$100–$300	Vendor (default)		false	false				false	true					Handyman tightens loose cabinet pulls, door knobs, hinges, and drawer slides across the house. Lubricates squeaky hinges and replaces any stripped hardware. Small job; big lived-in feel.	
Handyman	Smart home battery sweep	Any	Semi-annually	Medium	$50–$200	Vendor (default)		false	false				false	true					Handyman replaces batteries across every smart lock, doorbell camera, smoke/CO detector, motion sensor, and smart home hub. Most HNW homes have 15-30 battery-powered devices — this catches the ones the owner never thinks about until they die.	Pair with the spring or fall handyman visit.
Handyman	Whole-house relamping	Fall	Annually	Low	$150–$500	Vendor (default)		false	false				false	true					"Handyman systematically replaces every light bulb in fixtures that require a ladder or awkward reach — high ceilings, stairwells, exterior sconces, closet recessed cans. One morning vs 12 separate \""I'll get to it\"" moments."	Stock your preferred bulbs in advance. Most handymen will bring their own ladder and simple tools.
Handyman	Ceiling fan cleaning and balancing	Spring	Annually	Low	$75–$250	Vendor (default)		false	false				false	true					Handyman cleans every ceiling fan blade and tests balance (wobble means it's out of spec). High-reach task that accumulates dust for years because no one wants to drag out a ladder. Balanced fans are also quieter.	
Handyman	Drywall patch and paint touch-up visit	Any	Annually	Low	$150–$500	Vendor (default)		false	false				false	true					Bundle the nail pops, scuffs, small dents, and hairline drywall cracks into one visit so the handyman can patch, sand, and spot-paint the obvious lived-in wear all at once.	Great quote-friendly add-on before guests, photos, or listing prep.
Handyman	Door, latch, and hinge tune-up	Any	Annually	Low	$100–$350	Vendor (default)		false	false				false	true					Handyman adjusts sticking interior doors, noisy hinges, misaligned strike plates, loose closers, and dragging thresholds. Small fixes that make the whole house feel maintained.	
Handyman	Window screen and hardware repair	Spring	Annually	Low	$125–$400	Vendor (default)		false	false				false	true					Replace torn screens, tighten latches, adjust sash hardware, and fix the easy window annoyances that owners tolerate for years.	Especially useful before bug season or when opening the house back up after winter.
Handyman	Interior caulk refresh	Any	Annually	Medium	$150–$450	Vendor (default)		false	false				false	true					Re-caulk the obvious failure points in kitchens, mudrooms, and baths before water gets behind trim, counters, or fixtures. Good example of low-drama work that prevents bigger repairs.	Escalate to a tile setter or plumber if there is movement, active water damage, or fixture replacement hiding underneath.
Handyman	Hang mirrors, art, and shelving	Any	Annually	Low	$125–$450	Vendor (default)		false	false				false	true					Batch the high-value finish work: picture clusters, heavy mirrors, floating shelves, coat hooks, and mudroom organization pieces.	High-margin add-on that homeowners love because it clears a long-standing to-do list fast.
Handyman	TV mounting and cord cleanup	Any	Annually	Low	$175–$500	Vendor (default)		false	false				false	true					Mount the TV, hide the obvious wire mess, and leave the room looking deliberate instead of half-finished. Great quote lane for handymen who already carry the right anchors and tools.	Escalate to an electrician or integrator if in-wall power or major AV changes are required.
Handyman	Furniture, playset, or shed assembly	Spring	Annually	Low	$150–$700	Vendor (default)		false	false				false	true					Use the handyman for assemblies that are tedious, tool-heavy, or safer with two sets of hands. This keeps the homeowner out of half-finished box chaos.	Good fit for outdoor season starts, playroom upgrades, and storage cleanup.
Handyman	Grab bar and safety hardware install	Any	Annually	Medium	$150–$500	Vendor (default)		false	false				false	true					Install grab bars, handrail returns, better closet lighting, non-slip hardware, and other aging-in-place or child-safety upgrades that do not require a specialist.	One of the strongest trust builders for families managing older parents or multigenerational homes.
Handyman	Fixture swap and hardware refresh	Any	Annually	Low	$125–$450	Vendor (default)		false	false				false	true					Replace showerheads, faucets, cabinet pulls, towel bars, exterior house numbers, and similar finish hardware when the work stays inside the handyman lane.	Escalate when shutoffs are seized, valves are leaking, or wiring/plumbing rough work appears.
Handyman	Fence, gate, and deck repair sweep	Spring	Annually	Medium	$175–$650	Vendor (default)		false	false				false	true					Tighten hinges, replace a few boards, fix sagging latches, and handle the small exterior repairs that are annoying on their own but perfect when bundled together.	Good seasonal add-on when the handyman is already doing the spring exterior walkthrough.
Handyman	Blind and curtain hardware install	Any	Annually	Low	$125–$400	Vendor (default)		false	false				false	true					Install or adjust blinds, shades, curtain rods, privacy hardware, and other finish carpentry items that usually get stuck on a homeowner's list for months.	
Snow Removal	Renew snow plowing contract	Fall	Annually	Medium	$400-1,200/season	Vendor (default)		false	false				true	true					Most snow plow vendors require a signed seasonal contract by mid-fall. Reach out to confirm pricing, set the trigger snowfall depth, and authorize per-storm billing for the season ahead.	Contract typically covers Nov 1 – Apr 1 in the Northeast. Lock it in before October.
Mosquito & Tick	Sign up for mosquito and tick season	Spring	Annually	Medium	$400-900/season	Vendor (default)		false	false				true	true					Most mosquito and tick vendors run seasonal programs — an every-3-week spray schedule from April through October. Sign up in early spring to lock in your spot on their schedule.	Some vendors offer all-natural cedar-oil alternatives if you prefer. Talk to your vendor about program start date so you're covered before tick season peaks.
Tree Service	Annual tree assessment	Spring	Annually	Medium	$200-500	Vendor (safety-floor, always pro)		true	false				false	true					Certified arborist walks the property identifying dead limbs, structural weakness, disease, and storm risk. A $300 annual visit catches the $30,000 problems.	Best done in early spring before leaf-out so the structural picture is clear.
Tree Service	Pruning and crown thinning	Winter	Every 3 years	Medium	$500-2,000	Vendor (safety-floor, always pro)		true	false				false	true					Selective pruning of mature trees to reduce wind load, eliminate hazardous limbs, and maintain structure. Should be done by an ISA-certified arborist, not a landscaper.	Dormant-season pruning (Dec-Mar) is safest for the trees and cheapest for you.
Tree Service	Trim trees away from roof	Fall	Annually	Medium	$200–$600	Vendor (safety-floor, always pro)		true	false				false	true					Arborist trims back branches within 10 feet of the roof to prevent storm damage and reduce moss buildup.	Arborist required for large trees
Window Cleaning	Exterior window washing	Spring/Fall	Semi-annually	Low	$200-600	Vendor (default)		false	false				false	true					Professional cleaning of all exterior windows, screens, and tracks.	Spring after pollen settles and fall before storm windows go on. Quarterly for homes that need to stay immaculate.
Pressure Washing	Annual exterior power washing	Spring	Annually	Low	$300-700	Vendor (default)		false	false				false	true					Soft-wash siding, deck, walkways, and patio. Removes mildew, pollen, and dirt buildup and restores curb appeal in one visit.	
Driveway Sealcoating	Asphalt driveway sealcoat	Fall	Every 2-3 years	Medium	$300-800	Vendor (default)		false	false				false	true					Apply fresh sealcoat to the driveway. Protects against water infiltration, UV damage, and fuel spills.	Apply in early fall while temps are still warm enough for the sealer to cure properly.
Attic & Foundation	Annual attic inspection	Fall	Annually	Medium	$0 (handyman) to $200 (specialist)	Vendor (default)		false	false				false	true					Handyman or attic specialist visually inspects for insulation displacement, pest entry signs, roof-underside leaks, and ventilation issues.	Often included in a fall handyman visit.
Elevator	Annual elevator inspection	Any	Annually	High	$300-500	Vendor (safety-floor, always pro)		true	false				true	true					State-required annual inspection of residential elevator. Required by law in most states for private residential elevators.	Certified elevator inspector. Keep the certificate on file with other estate documents.
Elevator	Quarterly elevator service	Any	Quarterly	Medium	$150-300	Vendor (safety-floor, always pro)		true	false				true	true					Routine service visit covering cable tension, lubrication, door sensors, and emergency phone/alarm test.	
Wine Cellar	Annual cooling unit service	Spring	Annually	High	$200-400	Vendor (default)		false	true				true	true					Wine cellar tech services the cooling unit: cleans coils, checks refrigerant, verifies temperature and humidity calibration.	Cooling unit failures can ruin a collection overnight. This is not a category to skip.
Air Quality	Annual radon test	Any	Every 2 years	Medium	$30-80 (DIY kit) or $150-300 (tester)	Flexible (defaults match preference tier)		false	false	20			false	false			northeast		Place a short-term radon detector kit in the lowest livable level for 2-7 days, then mail it to the lab. Levels above 4 pCi/L require mitigation; 2-4 pCi/L is borderline and worth re-testing. A handyman can handle placement and collection; you don't need a certified radon tester unless you need a real-estate-transaction report.	NH, CT, and much of the surrounding Northeast are in the granite belt, one of the highest radon zones in the country.
Air Quality	Service whole-home or basement dehumidifier	Spring	Annually	Medium	$0 (DIY) to $150 (pro)	DIY-capable (opt-in for DIY users)	DIY-able if user opts in	false	false	30		has_dehumidifier	false	false					Clean the filter, wipe the coils, check the drain line for clogs, and verify the humidistat calibration. Catches silent failures that let basements creep above 60% RH and invite mold.	Pair with the spring handyman visit; run a humidity reading after service to confirm.
